"","assigned_to_cluster","timestamp","lon","lat","clusterStart","clusterEnd"
"768",26,"2016-01-06 00:54:50",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"767",30,"2016-01-06 00:55:14",-42.3663889,-21.1305559,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"766",25,"2016-01-06 01:03:53",-48.8486725,-26.3044897,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"765",27,"2016-01-06 01:09:30",-45.2517287,-19.7375241,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"764",18,"2016-01-06 01:12:23",-57.6311195,-25.2959915,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"763",25,"2016-01-06 01:29:22",-48.5110619,-25.6735329,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"762",27,"2016-01-06 01:40:05",-47.613128,-16.7676078,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"761",31,"2016-01-06 02:06:56",-41.9458752,-18.8539496,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"760",NA,"2016-01-06 02:21:56",-74.1745005,4.9289303,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"759",37,"2016-01-06 02:25:05",103.852038,1.2904527,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"758",20,"2016-01-06 02:25:24",-52.0991296,-32.0334251,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"757",37,"2016-01-06 02:25:46",103.852038,1.2904527,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"756",NA,"2016-01-06 02:38:21",-56.09913,-15.5986685,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"755",30,"2016-01-06 02:45:10",-43.2093726,-22.9110136,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"754",18,"2016-01-06 02:59:37",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"753",17,"2016-01-06 03:06:44",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"752",31,"2016-01-06 03:16:00",-43.9450947,-19.9227317,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"751",6,"2016-01-06 03:17:45",-73.8807027103,11.0869172,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"750",NA,"2016-01-06 03:17:53",-67.4807525,-45.8653442,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"749",26,"2016-01-06 03:27:59",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"748",17,"2016-01-06 03:30:09",-58.2688679,-34.7303024,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"747",26,"2016-01-06 03:32:47",-46.6333823,-23.5506506,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"746",21,"2016-01-06 03:34:34",-53.8069213,-29.6860511,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"745",25,"2016-01-06 03:36:12",-48.5251853,-25.5121903,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"744",36,"2016-01-06 03:41:26",-34.8820279,-7.121598,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"743",31,"2016-01-06 03:42:04",-44.6075312,-19.8599636,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"742",18,"2016-01-06 03:45:09",-57.4999999,-25.4999999,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"741",31,"2016-01-06 03:49:48",-43.9450947,-19.9227317,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"740",31,"2016-01-06 04:01:40",-43.9450947,-19.9227317,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"739",37,"2016-01-06 04:27:17",101.9820014518,3.97822225,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"738",39,"2016-01-06 04:31:29",120.9063408,15.3096543,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"737",27,"2016-01-06 04:44:34",-48.2767836,-18.918804,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"736",24,"2016-01-06 04:57:51",-53.1999999,-10.3333332,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"735",36,"2016-01-06 05:04:39",-34.8781516,-8.064193,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"734",39,"2016-01-06 05:08:15",121.7327065,17.6125761,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"733",37,"2016-01-06 05:13:20",103.852038,1.2904527,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"732",12,"2016-01-06 05:18:17",-66.8785653,10.5085014,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"731",31,"2016-01-06 05:20:05",-43.9450947,-19.9227317,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"730",17,"2016-01-06 05:20:41",-58.4375796,-34.6075797,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"729",18,"2016-01-06 05:28:50",-55.8939676,-27.3664866,"2016-01-05 01:04:00","2016-01-10 00:40:50"
"728",26,"2016-01-06 05:30:25",-47.4580559,-23.5016669,"2016-01-05 01:04:00","2016-01-10 00:40:50"
